identifier	linear_uuid	project	state	priority	title	url
OPN-88	497c1520-0e29-4ab3-8d61-a145fad6c4f3	OpenClaw Build Plan	Done	Medium	REC: Define recommendation DB workspace layout	https://linear.app/alex-lawson/issue/OPN-88/rec-define-recommendation-db-workspace-layout
OPN-89	3e7f5902-7d3d-4ed0-8a5d-371609d0f26f	OpenClaw Build Plan	Done	Medium	REC: Design hybrid recommendation database schema	https://linear.app/alex-lawson/issue/OPN-89/rec-design-hybrid-recommendation-database-schema
OPN-90	232f7821-d69b-4621-9ed7-b0655da3f232	OpenClaw Build Plan	Done	Medium	REC: Build idempotent import pipeline foundation	https://linear.app/alex-lawson/issue/OPN-90/rec-build-idempotent-import-pipeline-foundation
OPN-91	94530d42-1f19-4e9f-8861-88ddba75a505	OpenClaw Build Plan	Done	Medium	REC: Import Goodreads CSV into recommendation DB	https://linear.app/alex-lawson/issue/OPN-91/rec-import-goodreads-csv-into-recommendation-db
OPN-92	9496f44b-8cd1-4fdd-b570-1b8a31ca9ecc	OpenClaw Build Plan	Done	Medium	REC: Import IMDb ratings and watchlist	https://linear.app/alex-lawson/issue/OPN-92/rec-import-imdb-ratings-and-watchlist
OPN-93	96b59574-6f8b-438b-9565-df0ee174bd79	OpenClaw Build Plan	Done	Medium	REC: Import Spotify export into recommendation DB	https://linear.app/alex-lawson/issue/OPN-93/rec-import-spotify-export-into-recommendation-db
OPN-94	b4a3c927-39ab-40b4-944d-126929b97893	OpenClaw Build Plan	Done	Medium	REC: Add availability model for owned and accessible media	https://linear.app/alex-lawson/issue/OPN-94/rec-add-availability-model-for-owned-and-accessible-media
OPN-95	4a708503-0b24-43c6-a97f-d7994950adac	OpenClaw Build Plan	Done	Medium	REC: Build recommendation query v1	https://linear.app/alex-lawson/issue/OPN-95/rec-build-recommendation-query-v1
OPN-96	5697e338-7365-4472-87fc-c86a7eeaa3ca	OpenClaw Build Plan	Done	Medium	REC: Add recommendation feedback loop	https://linear.app/alex-lawson/issue/OPN-96/rec-add-recommendation-feedback-loop
OPN-97	671f38da-8e09-403f-b8d4-39b03ec504c6	OpenClaw Build Plan	Done	Medium	REC: Add MVP recommendation golden-path test	https://linear.app/alex-lawson/issue/OPN-97/rec-add-mvp-recommendation-golden-path-test
OPN-98	bf7c6a8a-bb56-4925-8de2-0b5106432619	OpenClaw Build Plan	Done	Low	REC: Document recommendation DB schema and workflows	https://linear.app/alex-lawson/issue/OPN-98/rec-document-recommendation-db-schema-and-workflows
OPN-99	da982e99-ebf9-4bc1-9663-daa742c16f2e	OpenClaw Build Plan	Done	Low	REC: Evaluate Hardcover API for book enrichment	https://linear.app/alex-lawson/issue/OPN-99/rec-evaluate-hardcover-api-for-book-enrichment
OPN-100	b3a1e980-9aaa-4527-a7b7-22cf185674eb	OpenClaw Build Plan	Done	Low	REC: Map Kindle library to book backlog	https://linear.app/alex-lawson/issue/OPN-100/rec-map-kindle-library-to-book-backlog
OPN-101	80ce2aa2-fda4-4015-88f1-9388164f9a11	OpenClaw Build Plan	Done	Low	REC: Evaluate Spotify plugin/API integration	https://linear.app/alex-lawson/issue/OPN-101/rec-evaluate-spotify-pluginapi-integration
OPN-102	073dc1c2-a1c0-4692-a8b2-cac770bdc1b0	OpenClaw Build Plan	Done	Low	REC: Import Steam library for game recommendations	https://linear.app/alex-lawson/issue/OPN-102/rec-import-steam-library-for-game-recommendations
OPN-103	48be13dd-8ea9-48cf-b26f-e84e5e731166	OpenClaw Build Plan	Done	Low	REC: Import PlayStation library for game recommendations	https://linear.app/alex-lawson/issue/OPN-103/rec-import-playstation-library-for-game-recommendations
OPN-104	6b344362-ab99-4332-a828-8eb508b1bbe7	OpenClaw Build Plan	Done	Low	REC: Evaluate Trakt sync for film and TV status	https://linear.app/alex-lawson/issue/OPN-104/rec-evaluate-trakt-sync-for-film-and-tv-status
OPN-105	62a475df-25b5-4f01-8e05-f15ecbf4ac7f	OpenClaw Build Plan	Done	Low	REC: Import Jellyfin library for film and TV availability	https://linear.app/alex-lawson/issue/OPN-105/rec-import-jellyfin-library-for-film-and-tv-availability
OPN-106	48c834b8-cad5-449a-b48e-c53b2baa65e5	OpenClaw Build Plan	Done	Low	REC: Add metadata enrichment workers	https://linear.app/alex-lawson/issue/OPN-106/rec-add-metadata-enrichment-workers
OPN-107	b5240ff3-9c7c-48df-9688-499586719d2d	OpenClaw Build Plan	Done	Low	REC: Evaluate Postgres migration path	https://linear.app/alex-lawson/issue/OPN-107/rec-evaluate-postgres-migration-path
OPN-108	31097777-cf4a-41d5-9ac2-4fb442fb86b2	OpenClaw Build Plan	Done	Low	REC: Evaluate vector recommendation sidecar	https://linear.app/alex-lawson/issue/OPN-108/rec-evaluate-vector-recommendation-sidecar
OPN-109	365289f0-2c29-4dd8-b8db-b91308d45760	OpenClaw Build Plan	Done	Medium	REC: Define source-state and canonical-state resolution model	https://linear.app/alex-lawson/issue/OPN-109/rec-define-source-state-and-canonical-state-resolution-model
OPN-110	4a346761-4119-4a44-b8dd-f54cfb60553d	OpenClaw Build Plan	Done	Medium	REC: Add recommendation sync conflict report	https://linear.app/alex-lawson/issue/OPN-110/rec-add-recommendation-sync-conflict-report
OPN-111	4fd58a15-f64d-4a38-be1a-23d4e7432b09	OpenClaw Build Plan	Done	Medium	REC: Define book sync policy for Goodreads, Hardcover, and Kindle	https://linear.app/alex-lawson/issue/OPN-111/rec-define-book-sync-policy-for-goodreads-hardcover-and-kindle
OPN-112	e17807e0-50d1-408d-96e9-8d8fa86bbfed	OpenClaw Build Plan	Done	Medium	REC: Define film/TV sync policy for IMDb, Trakt, and Jellyfin	https://linear.app/alex-lawson/issue/OPN-112/rec-define-filmtv-sync-policy-for-imdb-trakt-and-jellyfin
OPN-113	dadfc96c-043b-4926-80d0-aef03a4999c4	OpenClaw Build Plan	Done	Low	REC: Evaluate export targets for accepted recommendations	https://linear.app/alex-lawson/issue/OPN-113/rec-evaluate-export-targets-for-accepted-recommendations
OPN-144	d6efe7e3-df39-42a6-97b6-d89e975d226b	OpenClaw Build Plan	Done	Low	[Tools] Restore limits skill wrapper from git history	https://linear.app/alex-lawson/issue/OPN-144/tools-restore-limits-skill-wrapper-from-git-history
OPN-145	25282d80-341d-423b-9fcd-a6fb5367437a	OpenClaw Build Plan	Done	Low	[Tools] Investigate whether deleted tools/bin wrappers should be restored	https://linear.app/alex-lawson/issue/OPN-145/tools-investigate-whether-deleted-toolsbin-wrappers-should-be-restored
OPN-148	357ed0fe-7c49-47c5-ba56-cd5a55bf4ad6	OpenClaw Build Plan	Done	Low	REC: Prototype optional vector recommendation sidecar	https://linear.app/alex-lawson/issue/OPN-148/rec-prototype-optional-vector-recommendation-sidecar
OPN-149	d8b0f915-7162-421b-950b-c8bec9437334	OpenClaw Build Plan	Done	Low	REC: Prototype read-only Trakt film/TV import	https://linear.app/alex-lawson/issue/OPN-149/rec-prototype-read-only-trakt-filmtv-import
OPN-251	582e22c2-29ef-4094-96a2-b6d7667852b2	Session	In Review	Medium	WATCH: Implement active workout overview screen	https://linear.app/alex-lawson/issue/OPN-251/watch-implement-active-workout-overview-screen
OPN-252	36129789-cb50-4884-aa25-d55b6e460c6a	Session	In Review	Medium	WATCH: Implement recovery-level workout editing	https://linear.app/alex-lawson/issue/OPN-252/watch-implement-recovery-level-workout-editing
OPN-253	0cb44d3d-84ff-4fab-bf4a-1d7012cd2476	Session	In Review	Medium	WATCH: Clean up active workout controls and menu actions	https://linear.app/alex-lawson/issue/OPN-253/watch-clean-up-active-workout-controls-and-menu-actions
OPN-254	bb666519-4fdd-44bc-9947-aaa9fb75216d	Session	Blocked	High	WATCH: Implement Double Tap as current primary action	https://linear.app/alex-lawson/issue/OPN-254/watch-implement-double-tap-as-current-primary-action
OPN-255	313209f7-5989-4775-a164-80023358a6a7	Session	Blocked	High	WATCH: Implement Spotify music controls for MVP	https://linear.app/alex-lawson/issue/OPN-255/watch-implement-spotify-music-controls-for-mvp
OPN-256	0fc8c698-ecca-4623-b0d7-ca8c2cd159d3	Session	Blocked	Medium	WATCH: Implement HealthKit workout session behaviour	https://linear.app/alex-lawson/issue/OPN-256/watch-implement-healthkit-workout-session-behaviour
OPN-257	92add596-e3ad-40a1-ae8a-ab471dd0157c	Session	In Review	Medium	APP: Snapshot completed workout history as performed	https://linear.app/alex-lawson/issue/OPN-257/app-snapshot-completed-workout-history-as-performed
OPN-258	1dc6e101-abe4-4daf-857e-0a1f3b06d5e3	Session	In Review	Low	DOCS: Update Session spec and Notion decisions from OPN-245	https://linear.app/alex-lawson/issue/OPN-258/docs-update-session-spec-and-notion-decisions-from-opn-245
OPN-260	a71d7fde-4182-4a93-8ef6-481544015ac3	Session	In Progress	Medium	WATCH: Apply active-workout device-QA polish	https://linear.app/alex-lawson/issue/OPN-260/watch-apply-active-workout-device-qa-polish
OPN-261	11c93e14-637a-43ed-b6d6-dea2c6a58017	Session	Backlog	High	WATCH: Make workout state sync resilient to WatchConnectivity reachability failures	https://linear.app/alex-lawson/issue/OPN-261/watch-make-workout-state-sync-resilient-to-watchconnectivity
OPN-262	2e2a09b3-afab-41d9-8364-1871b981425c	Session	Backlog	Medium	WATCH: Fix active workout layout constraint warnings	https://linear.app/alex-lawson/issue/OPN-262/watch-fix-active-workout-layout-constraint-warnings
OPN-263	837469ee-3c79-410b-a5bf-2748fb922c8c	Session	Backlog	Medium	WATCH: Fix repeated navigation updates during active workout flow	https://linear.app/alex-lawson/issue/OPN-263/watch-fix-repeated-navigation-updates-during-active-workout-flow
OPN-267	309ed1ad-8c47-4a2d-b5d4-54f0b91a8bc8	OpenClaw Build Plan	In Progress	Urgent	Install & Configure Plane	https://linear.app/alex-lawson/issue/OPN-267/install-and-configure-plane
OPN-268	438e873c-548a-40f6-a3b9-a0ff9116f16d	OpenClaw Build Plan	In Review	High	Design Plane Workflow	https://linear.app/alex-lawson/issue/OPN-268/design-plane-workflow
OPN-269	080cde31-6047-4e5f-a3a9-61ccdee48dee	OpenClaw Build Plan	In Progress	Urgent	Migrate Linear to Plane	https://linear.app/alex-lawson/issue/OPN-269/migrate-linear-to-plane
OPN-270	28efbfce-fd9b-4294-be76-d522435d6d52	OpenClaw Build Plan	In Progress	Urgent	Implement Plane Integration SDK	https://linear.app/alex-lawson/issue/OPN-270/implement-plane-integration-sdk
OPN-271	6b5cdb45-9f0b-4394-ba39-22731bf8f699	OpenClaw Build Plan	In Progress	Urgent	Implement Plane Gateway & Webhooks	https://linear.app/alex-lawson/issue/OPN-271/implement-plane-gateway-and-webhooks
OPN-272	8816a4d1-6e52-4757-8fc1-28c92784648f	OpenClaw Build Plan	In Progress	High	Implement ChatGPT/Codex Plane Integration	https://linear.app/alex-lawson/issue/OPN-272/implement-chatgptcodex-plane-integration
OPN-273	9244a556-e3ef-435b-b24e-685779d9bd69	OpenClaw Build Plan	In Progress	High	Implement Agent Workflow Automation	https://linear.app/alex-lawson/issue/OPN-273/implement-agent-workflow-automation
OPN-274	78608858-660e-4ca8-a663-0f7673d98e6f	OpenClaw Build Plan	In Progress	Medium	Implement n8n Plane Automations	https://linear.app/alex-lawson/issue/OPN-274/implement-n8n-plane-automations
OPN-275	63c40012-52f5-4a11-af3d-53d0e2bced81	OpenClaw Build Plan	Backlog	High	Harden Plane Gateway REST Adapter	https://linear.app/alex-lawson/issue/OPN-275/harden-plane-gateway-rest-adapter
